,Unnamed: 0,X0,X1,cluster_id,sub_cluster,cluster,origin,size_factor,celltype_origin,batch,n_counts,tissue,lr_batch,corr_concat,cell.labels,stage,lanes,sex,sort.ids,fetal.ids,component,broad_cell.labels,sequencing.type,orig.dataset,broad_cell_labels_organ,V6_old_indexes,col,num,corr_concat_num,predicted,subclusters
SS.sc7785290,1,12.213498,-0.5503276,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.973130652909305,Blood Progenitors_Yolk Sac_2,0,371012.8,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785291,35,11.765801,0.8651244,Hemogenic Endothelial Progenitors,Hemogenic Endothelium,Hemogenic Endothelial Progenitors,Yolk Sac,0.961988338403417,Hemogenic Endothelium_Yolk Sac_1,0,302030.12,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Hemogenic Endothelium_Yolk Sac_1
SS.sc7785378,44,12.049977,-0.31863427,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.04240467214136,Blood Progenitors_Yolk Sac_2,0,389242.7,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785362,58,10.83512,-2.0208893,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.447466759014522,Erythroblasts_Yolk Sac,0,200889.61,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785530,61,12.480924,1.3667667,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.976325780633666,Erythro-Myeloid Progenitors_Yolk Sac_1,0,361035.44,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_1
SS.sc7785451,94,10.873213,-2.0834055,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.851082012867989,Erythroblasts_Yolk Sac,0,424381.72,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785336,98,11.810123,0.7636481,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.25237040409185,Erythro-Myeloid Progenitors_Yolk Sac_0,0,462058.97,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785474,99,10.969957,-2.297076,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.739029763529051,Erythroblasts_Yolk Sac,0,380913.1,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785554,103,11.076372,-2.3027475,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.502359348910737,Erythroblasts_Yolk Sac,0,234854.16,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785411,105,12.750609,1.2970772,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.49592186064319,Erythro-Myeloid Progenitors_Yolk Sac_0,0,466846.47,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,NK_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785503,115,12.341313,-0.4691384,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.37239769394323,Blood Progenitors_Yolk Sac_0,0,529446.2,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785579,141,12.084113,0.98237026,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.795512753283489,Erythro-Myeloid Progenitors_Yolk Sac_0,0,290892.56,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785526,149,11.129974,-2.493415,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.908009326774017,Erythroblasts_Yolk Sac,0,414085.94,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785303,179,11.656243,0.82705474,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.2697408624535,Erythro-Myeloid Progenitors_Yolk Sac_0,0,459024.8,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785650,197,12.91374,2.164605,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.815983677815487,Erythro-Myeloid Progenitors_Yolk Sac_2,0,271440.25,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Erythro-Myeloid Progenitors_Yolk Sac_2
SS.sc7785312,200,12.059435,-0.579377,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.32564209577011,Blood Progenitors_Yolk Sac_2,0,517377.16,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785545,201,11.609534,-0.5388591,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.01773082514702,Blood Progenitors_Yolk Sac_1,0,390003.56,gastrulation,gastrulation,Early_Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#FFE8EC,#FFE8EC,#FFE8EC : Early_Erythroid_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_1
SS.sc7785354,219,10.855684,-1.8572042,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.816528870402351,Erythroblasts_Yolk Sac,0,337657.16,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785627,260,11.94334,-0.6335635,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.824256879549012,Blood Progenitors_Yolk Sac_0,0,325356.1,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785351,267,12.09459,-0.46610716,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.03484196522995,Blood Progenitors_Yolk Sac_2,0,413704.6,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785619,274,12.867013,2.8366084,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.21497356747359,Myeloid Progenitors_Yolk Sac,0,511397.3,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785602,277,11.283836,0.014559925,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.583197469397141,Blood Progenitors_Yolk Sac_0,0,201410.94,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785641,284,12.216265,-0.25426334,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.54959933233315,Blood Progenitors_Yolk Sac_2,0,597325.56,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_2
SS.sc7785360,290,12.898554,2.741168,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.858050912998412,Myeloid Progenitors_Yolk Sac,0,376901.5,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785446,296,10.615689,-2.5577352,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.600627878994455,Erythroblasts_Yolk Sac,0,303841.75,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785651,311,12.625123,2.6190052,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.85591714103933,Myeloid Progenitors_Yolk Sac,0,372554.28,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785643,315,11.435796,-0.8726648,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.14952132029183,Blood Progenitors_Yolk Sac_1,0,565132.5,gastrulation,gastrulation,Early_Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#FFE8EC,#FFE8EC,#FFE8EC : Early_Erythroid_Yolk Sac_gastrulation,Early_Erythroid_ys,Blood Progenitors_Yolk Sac_1
SS.sc7785620,320,11.378986,1.1756923,Hemogenic Endothelial Progenitors,Hemogenic Endothelium,Hemogenic Endothelial Progenitors,Yolk Sac,1.15345450809634,Hemogenic Endothelium_Yolk Sac_1,0,366209.25,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,Prolif_Sinusoidal_EC_ys,Hemogenic Endothelium_Yolk Sac_1
SS.sc7785482,346,12.693396,2.8207104,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.930294643939877,Myeloid Progenitors_Yolk Sac,0,397400.12,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785387,369,12.346262,1.287161,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.26222824641857,Erythro-Myeloid Progenitors_Yolk Sac_0,0,433687.75,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_2_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785473,394,10.9962,-1.961466,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.89454124856792,Erythroblasts_Yolk Sac,0,396967.62,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785640,409,12.031349,-0.72222906,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.21404700059295,Blood Progenitors_Yolk Sac_0,0,504021.78,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785424,411,13.210822,2.552718,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.983802277171844,Myeloid Progenitors_Yolk Sac,0,383480.34,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785375,419,11.436209,1.0471287,Hemogenic Endothelial Progenitors,Hemogenic Endothelium,Hemogenic Endothelial Progenitors,Yolk Sac,0.642321740223705,Hemogenic Endothelium_Yolk Sac_1,0,191386.95,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_2_ys,Hemogenic Endothelium_Yolk Sac_1
SS.sc7785577,426,11.13121,-1.1094683,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.884176267584581,Blood Progenitors_Yolk Sac_1,0,351329.25,gastrulation,gastrulation,Early_Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#FFE8EC,#FFE8EC,#FFE8EC : Early_Erythroid_Yolk Sac_gastrulation,Early_Erythroid_ys,Blood Progenitors_Yolk Sac_1
SS.sc7785615,466,12.751285,1.9593191,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.39487646416731,Erythro-Myeloid Progenitors_Yolk Sac_2,0,468796.5,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Erythro-Myeloid Progenitors_Yolk Sac_2
SS.sc7785410,493,11.234942,-2.353402,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,1.03435346104182,Erythroblasts_Yolk Sac,0,493936.25,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785408,497,12.354264,-0.46935296,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.08560579989445,Blood Progenitors_Yolk Sac_0,0,433209.88,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785449,511,10.71589,-1.9182701,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.94577146204428,Erythroblasts_Yolk Sac,0,439091.44,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785626,531,11.15696,-2.2903583,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.901544996295384,Erythroblasts_Yolk Sac,0,343563.94,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Early_Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785338,556,11.217026,-0.53066444,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.01275398652725,Blood Progenitors_Yolk Sac_1,0,411318.53,gastrulation,gastrulation,Early_Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#FFE8EC,#FFE8EC,#FFE8EC : Early_Erythroid_Yolk Sac_gastrulation,Early_Erythroid_ys,Blood Progenitors_Yolk Sac_1
SS.sc7785305,558,10.653026,-2.079478,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.757776814118624,Erythroblasts_Yolk Sac,0,351162.0,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785550,563,12.389488,1.2271429,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.03884087888335,Erythro-Myeloid Progenitors_Yolk Sac_1,0,360323.53,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_1
SS.sc7785434,567,12.092203,0.82641894,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.66701397679229,Erythro-Myeloid Progenitors_Yolk Sac_0,0,570973.3,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785570,579,10.81437,-1.9867867,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.797057084116826,Erythroblasts_Yolk Sac,0,394204.8,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
